englishName,displayName,plantCouncilName,pcQuality,wholeSaleName,kind,varieties,type,whQaulity,Improted,image
Melons Orange,מלון כתום,מילון כתום,סוג א,מלונים כתום,מלונים,,כתום,כתום,,112
Melons Orange,מלון כתום,מילון כתום,מובחר,,,,,,,
Cucumbers,מלפפונים,מלפפון חממה,חממה סוג א,מלפפון,מלפפון,,,מלפפון,,113
Cucumbers,מלפפונים,מלפפון חממה,חממה מובחר,,,,,,,
Mango Eden,מנגו היידן,,,מנגו היידן סוג א,מנגו,היידן,סוג א,סוג א,,114
Mango Tommy,מנגו טומי,,,מנגו טומי סוג א,מנגו,טומי,סוג א,סוג א,,115
Mango Maya,מנגו מיה,,,מנגו מיה סוג א,מנגו,מיה,סוג א,סוג א,,116
Mango Palmar,מנגו פלמר,,,מנגו  פלמר סוג א,מנגו,פלמר,סוג א,סוג א,,117
Mango Kit,מנגו קיט,,,מנגו קיט סוג א,מנגו,קיט,סוג א,סוג א,,118
Mango Kent,מנגו קנט,,,מנגו קנט סוג א,מנגו,קנט,סוג א,סוג א,,119
Mango Shelly,מנגו שלי,,,מנגו שלי סוג א,מנגו,שלי,סוג א,סוג א,,120
Mango Pezi,מנגו פזי,,,מנגו פזי סוג א,מנגו,,פזי סוג א,סוג א,,121
Apricots,משמש,,,משמש משמש,משמש,,משמש,משמש,,122
Apricots zaiger,משמש זייגר,,,משמש זייגר,משמש,,זייגר,זייגר,,123
Apricot Raanana,משמש רעננה,,,משמש רעננה,משמש,,רעננה,רעננה,,124
Nectarine Red,נקטרינות אדומות,,,נקטרינות אדומות ק' 6מותג,נקטרינות,אדומות,ק' 6מותג,ק' 6מותג,,125
Nectarine Red,נקטרינות אדומות,,,נקטרינות אדומות ק' 6.5מותג,נקטרינות,אדומות,ק' 6.5מותג,ק' 6.5מותג,,126
Nectarine Red,נקטרינות אדומות,,,נקטרינות אדומות ק' 5מותג,נקטרינות,אדומות,ק' 5מותג,ק' 5מותג,,127
Nectarine Red,נקטרינות אדומות,,,נקטרינות אדומות ק' 5.5מותג,נקטרינות,אדומות,ק' 5.5מותג,ק' 5.5מותג,,128
Nectarine Red,נקטרינות אדומות,,,נקטרינות אדומות ק' 7מותג,נקטרינות,אדומות,ק' 7מותג,ק' 7מותג,,129
Nectarine white,נקטרינות לבנות,,,נקטרינות לבנות ק' 5מותג,נקטרינות,לבנות,ק' 5מותג,ק' 5מותג,,130
Nectarine white,נקטרינות לבנות,,,נקטרינות לבנות ק' 5.5מותג,נקטרינות,לבנות,ק' 5.5מותג,ק' 5.5מותג,,131
Nectarine white,נקטרינות לבנות,,,נקטרינות לבנות ק' 6מותג,נקטרינות,לבנות,ק' 6מותג,ק' 6מותג,,132
